url,name,price,category
"https://www.kmart.com.au/product/long-sleeve-off-shoulder-top-s169158/?selectedSwatch=SKYWAY","Long Sleeve Off Shoulder Top","18","Clothing"
"https://www.coles.com.au/product/manicare-nail-grooming-set-4-pack-2371761?pid=offers_featurerow_supplier_br360_32659_57271","Manicare Nail Grooming Set | 4 pack","19.1","Nail Grooming Set"
"https://www.woolworths.com.au/shop/productdetails/822389/colgate-total-active-prevention-deep-clean-toothpaste","Colgate Total Active Prevention Deep Clean Toothpaste","Price not found","Groceries"
